Código da Cozinha,Nome da Cozinha,Endereço da Cozinha,Bairro da Cozinha,CEP,Município da Cozinha,Código IBGE,UF,Email,CNPJ,A cozinha está em funcionamento atualmente?,Em quantos dias da semana a Cozinha Solidária funciona?,Situação,Público Atendido,Público Total Atendido,Quantidade refeições produzidas por dia de trabalho,Latitude,Longitude
CS017260,COZINHA POPULAR SOLIDÁRIA CASA DA SOPA,"Av. presidente Castelo Branco, S/N, 132",SÃO FRANCISCO,68644-000,SANTA LUZIA DO PARÁ,1506559,PA,amolslp6@gmail.com,08.216.280/0001-81,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",90,80,-1.5171167,-46.9053910
CS017256,COZINHA POPULAR SOLIDÁRIA MÃOS DE MULHERES,"Rua João Andrade, 177",Centro,67030-150,ANANINDEUA,1500800,PA,pinheironina13@gmail.com,08.921.160/0001-85,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",140,250,-1.3657108,-48.3746643
CS014633,COZINHA SANTA MARTHA,"Rua Aladino Carneiro, 11",Fronteira,27961-200,MACAÉ,3302403,RJ,caritasdiocesenf@gmail.com,30.553.481/0001-23,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",65,40,-22.3587618,-41.7717616
CS015703,COZINHA SOLIDÁRIA ABPADEC,"Rua Francisco Alves Pereira, 568",Jd Sta Cruz,02674-050,SÃO PAULO,3550308,SP,Presidente.abpadec68@yahoo.com,09.615.570/0001-60,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",300,350,-23.4606299,-46.6667268
CS016172,COZINHA SOLIDÁRIA ALIMENTA BAHIA,"Rua Marcelo T maschesini, 90",Mangabeira,44066-290,FEIRA DE SANTANA,2910800,BA,habitarbahia.fsa@gmail.com,07.771.925/0001-85,Está funcionando com carga horária reduzida,4 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",750,3250,-12.2219269,-38.9392324
CS016993,COZINHA SOLIDARIA ASSOCIAÇÃO DOS MORADORES DE ARACUÍ,"Rodovia Dr. Frued Nemer, km04, 70",Aracuí,29360-000,CASTELO,3201407,ES,ama.aracui@gmail.com,36.401.735/0001-74,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",1800,380,-20.6407420,-41.2096279
CS015134,COZINHA SOLIDARIA - CASA DA PROVIDENCIA,"RUA 1, 142",LOTEAMENTO PARAISO,45604-652,ITABUNA,2914802,BA,comfilhosdeisrael@gmail.com,13.982.334/0001-50,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",350,300,-14.7764658,-39.2579829
CS017136,COZINHA SOLIDÁRIA DA AMARQVUC,"Rodovia PA 154 km 10, sn",QUILOMBO VILA UNIÃO CAMPINAS,68860-000,SALVATERRA,1506302,PA,moreirarosimar8@gmail.com,07.162.531/0001-20,Está funcionando com carga horária reduzida,2 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",220,200,-22.9050824,-47.0613327
CS017137,COZINHA SOLIDÁRIA DE PLANURA,"RUA MONTE ALEGRE, 310",Vila Paiva,38220-000,PLANURA,3151602,MG,regiabrincksmds@gmail.com,15.635.509/0001-88,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",1007,250,-20.1346303,-48.7071492
CS016530,COZINHA SOLIDÁRIA DO BEM VIVER,"RUA JADER MORAES, 156",PROMISSÃO 3,68628-510,PARAGOMINAS,1505502,PA,cozinhasolidariadobemviver@gmail.com,34.844.993/0001-08,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",150,100,-2.9779156,-47.3496516
CS016991,COZINHA SOLIDÁRIA MOVER HELIPA | FAVELA HELIÓPOLIS-SP,"Rua Comandante Taylor, 612",Heliópolis | Sacomã,04218-000,SÃO PAULO,3550308,SP,moverhelipa@gmail.com,10.935.841/0001-44,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",825,450,-23.5998759,-46.5982509
CS017152,COZINHA SOLIDARIA NEAC - NÚCLEO ESPECIAL DE ATENÇÃO À CRIANÇA,"ESTRADA IARAQUA, 375",Campo Grande,23047-160,RIO DE JANEIRO,3304557,RJ,neac@neac.org.br,01.721.077/0001-13,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",608,480,-22.9276633,-43.5563389
CS017150,COZINHA SOLIDARIA NOVO SER,"RUA ZEZITO SILVANO, 1007",PLANALTO DE BEBERIBE,62840-000,BEBERIBE,2302206,CE,institutinovoserbeberibe@gmail.com,51.123.121/0001-61,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",273,100,-4.1783299,-38.1410594
CS017153,COZINHA SOLIDÁRIA SOMAR JARAGUÁ,"Rua Vasco Balboa, 128",Jardim Ipanema,05187-000,SÃO PAULO,3550308,SP,somarassociacao@gmail.com,32.704.477/0001-44,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",730,400,-23.4451258,-46.7491800
